date,rm,rf,SMB,HML,WML
199901,1.16,0.26,-3.85,-11.2,7.57
199902,-3.15,0.26,-0.6,-1.45,0.48
199903,-0.91,0.25,-1.45,9.65,1.52
199904,7.92,0.22,-7.44,6.3,-3.52
199905,-3.51,0.21,1.48,-4.43,-1.12
199906,5.87,0.22,-8.66,2.76,0.89
199907,-3.83,0.22,0.33,0.58,0.91
199908,2.52,0.22,-2.53,-1.9,0.65
199909,-3.78,0.21,0.64,-0.67,2.22
199910,6.16,0.23,-4.06,0.96,2.42
199911,4.6,0.25,-12.96,-4.74,8.97
199912,15.24,0.29,-11.59,-3.72,4.53
200001,-1.04,0.26,4.19,-12.24,-3.88
200002,10.42,0.28,-10.96,-11.15,1.83
200003,-0.83,0.3,4.01,5.88,-4.65
200004,-2.14,0.31,7.39,5.56,0.84
200005,-2.18,0.35,3.68,3.77,-1.17
200006,-1.98,0.36,2.88,2.91,4.8
200007,2.63,0.37,-4.12,8,1.52
200008,-1.13,0.38,0.71,0.15,4.67
200009,-4.18,0.39,0.85,8.26,3.83
200010,-1.24,0.4,-4.09,3.81,0.5
200011,-6.24,0.41,-2.22,19.23,4.21
200012,-0.88,0.41,-3.06,6.43,11.31
200101,4,0.4,2.29,-9.47,-17.78
200102,-5.58,0.4,3.91,11.63,17.55
200103,-2.85,0.4,1.22,4.27,12.68
200104,5.26,0.4,-7.68,-3.03,0.3
200105,-0.5,0.39,0.99,9.29,4.98
200106,3.17,0.38,-3.86,1.31,14.03
200107,-2.52,0.38,-7.33,3.9,10.58
200108,-7.6,0.37,0.42,4.8,13.64
200109,-13.23,0.34,1.97,-4.54,5.41
200110,4.9,0.31,0.04,0.93,-15.36
200111,7.1,0.28,-8.87,4.4,-5.33
200112,2.42,0.28,-9.65,2.27,16.79
200201,0.5,0.28,2.02,2,-3.82
200202,-0.19,0.28,-3.09,2.77,9.23
200203,4.44,0.28,-5.57,0.56,-1.17
200204,-3.11,0.28,-3.03,7.66,11.17
200205,-1.51,0.28,0.42,3.28,4.38
200206,-6.69,0.28,1.91,1.38,10.97
200207,-10.77,0.28,1.88,3.27,3.93
200208,-0.88,0.28,-2.3,1.63,2.88
200209,-20.71,0.27,4.84,-0.07,11.57
200210,9.57,0.27,-6.28,-1.92,-12.37
200211,2.96,0.27,-2.17,2.73,1.07
200212,-10.37,0.25,1.74,-0.8,11.74
200301,-4.01,0.24,-4.31,5.08,3.45
200302,-6.02,0.23,2.88,0.2,4.79
200303,-3.74,0.22,2.39,-2.23,2.52
200304,17.49,0.21,0.52,-1.67,-17.54
200305,1.57,0.21,7.31,-3.09,-2.19
200306,6.34,0.18,1.79,7.32,-8.35
200307,6.16,0.18,-0.36,3.81,-4.75
200308,2.04,0.18,0.26,6.85,0.75
200309,-5.34,0.18,10.61,-0.82,-2.58
200310,9.83,0.17,-0.53,1.93,5.43
200311,2.07,0.17,0.42,-1.85,0.55
200312,4.64,0.18,-7.75,0.19,-2.13
200401,3.37,0.17,8.15,-2.67,5.88
200402,-0.74,0.17,6.85,2.29,1.27
200403,-2.93,0.17,2.23,-1.97,-2.66
200404,2.75,0.17,-2.85,-0.71,-0.98
200405,-1.18,0.17,-0.07,-1.38,-0.45
200406,3.06,0.17,-1.51,-1.21,-0.17
200407,-3.15,0.17,-2.49,0.88,2.36
200408,-2.5,0.17,-2.56,1.07,5.08
200409,1.85,0.17,-1.59,-0.25,3.96
200410,1.46,0.17,-0.38,0.75,2.07
200411,4.14,0.17,2.15,-1.57,0.09
200412,2.5,0.18,-2.54,0.21,3.7
200501,0.53,0.17,5.48,3.55,0.1
200502,2.57,0.17,3.86,1,-2.63
200503,-0.12,0.17,2.25,-2.15,1.87
200504,-3.74,0.17,2.62,-1.77,2.88
200505,6.64,0.17,-4.06,2.74,-1.74
200506,3.35,0.17,3.42,0.8,2.89
200507,6.52,0.17,-1.29,5.7,0.07
200508,-0.83,0.17,1.04,-1.42,1.43
200509,4.55,0.18,-1.77,-0.54,3.08
200510,-2.75,0.18,2.64,1.02,-0.1
200511,5.09,0.18,-0.91,-0.19,0.65
200512,3.95,0.2,-0.46,-3.55,-2.37
200601,5.77,0.2,-0.26,-2.52,3.55
200602,2.94,0.2,5.74,-0.66,0.59
200603,3.12,0.22,0.13,-1.96,-0.28
200604,0.86,0.22,3.37,0.66,2.31
200605,-5.61,0.22,-2.73,1.1,-2.95
200606,-0.44,0.24,-1.36,-1.83,1.4
200607,-0.09,0.24,0.39,3.72,2.54
200608,3.16,0.26,-2.5,-0.63,0.79
200609,2.76,0.26,-2.32,0.08,3.95
200610,4.12,0.28,-3.71,5.1,2.81
200611,0.76,0.28,-1.86,0.81,2.05
200612,4.93,0.3,-2.49,0.92,2.8
200701,3.33,0.3,2.61,3,0.6
200702,-0.85,0.3,-1.19,3.47,-2.63
200703,3.67,0.32,-3.51,5.47,1.22
200704,6.66,0.32,-1.76,-1.12,3.49
200705,5.83,0.33,-5,2.6,1.61
200706,1.22,0.34,-2.04,0.33,3.13
200707,-4.69,0.34,1.11,0.47,3.3
200708,-0.07,0.36,-7.46,5.6,4.47
200709,2.66,0.37,-1.82,-1.92,1.78
200710,2.74,0.35,-3.19,3.45,3.08
200711,-3.07,0.35,-4.37,-1.21,0.71
200712,1.92,0.39,1.39,-2.11,0.14
200801,-14.77,0.35,-0.31,3.84,-2.72
200802,-0.83,0.35,3.85,-1.84,2.17
200803,-3.06,0.36,-1.95,1.66,2.35
200804,6.26,0.36,-1.93,1.4,1.56
200805,2.42,0.36,-0.79,-4.78,0.12
200806,-9.19,0.37,3.05,3.93,2
200807,-0.32,0.37,-1.08,-1.12,0.59
200808,-0.25,0.37,-0.12,3.37,-2.15
200809,-11.1,0.39,-4.45,-4.89,10.23
200810,-15.83,0.41,-5.61,-1.13,10.25
200811,-7.94,0.32,6.08,2.46,5.4
200812,3.5,0.26,1.14,-0.91,-10.4
200901,-9.69,0.18,2.66,0.02,10.75
200902,-11.15,0.14,7.76,-2.31,6.48
200903,5.68,0.1,-3.47,-0.42,-4.46
200904,17.45,0.08,-3.2,0.45,-21.51
200905,3.56,0.07,5,0.48,-6.42
200906,-2.21,0.07,0.16,2.38,3.17
200907,10.14,0.05,-3.91,-2.47,-1.36
